,loading_percent
0,59.6610696992521
1,35.727195479369975
2,22.410560396794946
3,32.62177295979372
4,51.04791933262953
5,30.577039634116822
6,29.11224507356677
7,18.372400530400906
8,5.36914996581751
9,27.651512951512014
10,57.06379671643871
11,41.54308007749207
12,6.259491255362665
13,29.62902277911399
14,13.619215824708943
15,30.59519104029973
16,52.30470050586544
17,36.136136091456166
18,29.844853015957217
19,25.190808441584405
20,8.110405648608536
21,44.78674891976659
22,10.187335195162245
23,16.316832453259497
24,23.76197022307906
25,3.272414933295604
26,32.50397900959921
27,13.52071556929878
28,20.596935624740834
29,33.17670764083689
30,7.721403730611216
31,108.21416257489118
32,8.396671409737804
33,26.29457221749033
34,3.377421842853249
35,19.619296074225765
36,93.28669066010107
37,8.217867308693389
38,14.021482416607054
39,14.730951246520425
40,16.7903256839163
41,10.548611648664872
42,10.037966810609895
43,45.24148707635579
44,9.187770387916952
45,15.845117264874991
46,34.19080060822356
47,21.637589959700403
48,7.97459619281677
49,17.16401876860497
50,98.78904106214948
51,21.49659478834697
52,64.76968560992935
53,73.81719052616572
54,46.45608136997062
55,106.98176800821867
56,36.85398304396948
57,68.19435025131101
58,9.070319374783194
59,6.6038958285694065
60,26.79980625005477
61,25.819392421907533
62,13.657060727954743
63,29.090655364928768
64,27.907569465752495
65,34.17727045234859
66,77.12217600165775
67,18.126353620322263
68,20.762004926209674
69,25.641177212477047
70,37.05296758838952
71,27.64925760052947
72,50.89716317736289
73,46.55467357433038
74,17.28569678824499
75,29.99165367053675
76,15.2369566929679
77,34.90998879066515
78,23.86086872824105
79,4.3566589880787605
80,24.59434065804362
81,32.87819115619218
82,60.77469618773217
83,25.42961958887101
84,11.844388664177613
85,51.838148077586965
86,14.205484615838493
87,17.367315675359972
88,4.009578491521628
89,4.859130265833795
90,22.056536474142277
91,55.32483848172484
92,15.928010216340416
93,22.833384600490135
94,24.13305962565416
95,24.61437265072806
96,22.97804852272022
97,70.6986286717639
98,9.116259541250813
99,34.95668677861088
100,25.93816067836226
101,3.4820555207396473
102,12.232092967426677
103,6.400312920620645
104,18.13766931370741
105,3.2604311087021007
106,17.04086997111883
107,24.259310268370207
108,25.0789364564434
109,6.80392847331297
110,16.40956083988604
111,23.898627392208827
112,12.156599548865639
113,19.430966052845054
114,70.31146304715998
115,87.25415547818771
116,13.842375891193349
117,55.49097400847901
118,41.41074839347409
119,27.78001099178084
120,28.6413718611842
121,9.168526025350085
122,15.28224349639769
123,18.06284420428448
124,9.895043790241175
125,16.576702897798416
126,14.614835459760636
127,21.9906024898195
128,16.780819499027757
129,22.624428712297643
130,3.119443089367008
131,14.530767393733477
132,12.343570039099513
133,9.644459230733611
134,2.7939758471233165
135,8.271934801026303
136,18.456727934796703
137,9.605938048579112
138,6.371819394753447
139,12.521920840601089
140,31.052627629590013
141,29.308867546250987
142,34.3341824630206
143,6.625807538143315
144,41.2072237424705
145,70.39154296193915
146,25.200731089336514
147,14.387421248896976
148,19.25123367560339
149,28.34167805491075
150,39.763224166361034
151,22.678078221431093
152,11.95246287152181
153,39.06405016843873
154,9.242449202816244
155,2.5726163129380817
156,3.7633221426649515
157,16.05745699385733
158,4.723211629114732
159,6.286589281999007
160,3.4823164128810897
161,6.687500537252668
162,4.460243967556432
163,32.2890025736808
164,7.123194123029025
165,2.4615452996797242
166,16.49310551623269
167,19.11169260410306
168,8.976998575019248
169,5.141533567452385
170,11.97664889647823
171,12.528648665051442
172,18.13053615798493
173,1.4021742561284114
174,9.192095307301747
175,14.21501705562194
176,5.732476237595096
177,2.003496795062325
178,1.8741372506370857
179,10.577715557563934
180,37.217837745045664
181,17.854201863382322
182,10.945145381054505
183,43.31729677155524
184,12.904724348818949
185,7.916879781121542
186,41.088216133089425
187,20.879394468145403
188,7.3761080299092745
189,18.22080085099764
190,5.268747996341039
191,5.66379117695071
192,30.664196155168995
193,4.576306276800241
194,9.107285111902385
195,20.28812279932894
196,32.787377074909394
197,36.86175910150201
198,17.760195672040773
199,31.599039238029775
200,5.316395631873593
201,6.766913096628219
202,10.4161889840842
203,9.8495709467346
204,7.719012934823766
205,18.12878693502421
206,7.569189518184638
207,8.426736685549685
208,7.9541357887358055
209,9.306205761038253
210,23.309095964140667
211,27.664382017818458
212,4.173846301552639
213,14.154300082421372
214,21.776335862680995
215,17.964301714635937
216,5.007928377815604
217,20.540642691101645
218,33.31530001534907
219,22.626564766023943
220,6.364035191393853
221,18.92600801101926
222,16.810687810277937
223,9.76089970713446
224,36.808018361830264
225,35.80224092604985
226,19.259939246787443
227,41.12475809299262
228,35.80008071993605
229,40.6770528898126
230,27.216729847289372
231,26.396946679098914
232,16.806061872431272
233,20.65986744571631
234,18.52819349661611
235,50.407500124857464
236,17.831216687503783
237,31.837294267544586
238,56.10551516965864
239,50.960987080869714
240,17.141879028408585
241,23.625944251892612
242,29.35532914118101
243,94.18430707634015
244,149.2747708910773
245,4.5698870754778484
246,3.4585235202682294
247,4.0024788236319395
248,123.0353351548521
249,51.78218519638019
250,10.621591055821327
251,21.176110599115834
252,22.8817914575749
253,11.069628165069437
254,2.9022800647677505
255,10.77059214742584
256,7.436375605058326
257,121.87324942352286
258,120.45591404533806
259,9.391436817223687
260,12.463274359763886
261,60.98526398407935
262,74.13054389791571
263,23.665360671131772
